date,open,high,low,close,volume,return_1d,return_5d,daily_return,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type
2005-02-25,92.7949,93.8716,92.7097,93.6948,79289004,,,,,93.6948,94.0,30,0.0821917808219178,,0.03,call
2005-02-28,93.4735,93.5952,92.6083,93.0544,89985785,-0.006834957756460369,,-0.006834957756460369,,93.0544,93.0,30,0.0821917808219178,,0.03,call
2005-03-01,93.1845,93.7683,93.1845,93.5386,61658442,0.005203407899035506,,0.005203407899035506,,93.5386,94.0,30,0.0821917808219178,,0.03,call
2005-03-02,93.1749,94.0766,93.0735,93.4927,83253671,-0.0004907065104673425,,-0.0004907065104673425,,93.4927,93.0,30,0.0821917808219178,,0.03,call
2005-03-03,93.8716,94.0575,93.1203,93.5301,80491538,0.00040003123238507854,,0.00040003123238507854,,93.5301,94.0,30,0.0821917808219178,,0.03,call
2005-03-04,94.1512,94.7819,93.9675,94.7073,72809892,0.012586322478004508,0.010806362786408563,0.012586322478004508,,94.7073,95.0,30,0.0821917808219178,,0.03,call
2005-03-07,94.6499,95.0882,94.4327,94.7456,56781312,0.0004044038843888931,0.018174315239257943,0.0004044038843888931,,94.7456,95.0,30,0.0821917808219178,,0.03,call
2005-03-08,94.6594,94.8872,94.1991,94.3665,57895709,-0.004001241218589469,0.00885089150361451,-0.004001241218589469,,94.3665,94.0,30,0.0821917808219178,,0.03,call
2005-03-09,94.1043,94.3378,93.3148,93.3232,95400795,-0.011055830193977711,-0.0018129757724399953,-0.011055830193977711,,93.3232,93.0,30,0.0821917808219178,,0.03,call
2005-03-10,93.3329,93.7494,92.8868,93.5386,84641541,0.0023081077374114134,9.087983440614344e-05,0.0023081077374114134,,93.5386,94.0,30,0.0821917808219178,,0.03,call
2005-03-11,93.778,93.9102,92.6907,92.8868,75346247,-0.00696824626410919,-0.019222383068675852,-0.00696824626410919,,92.8868,93.0,30,0.0821917808219178,,0.03,call
2005-03-14,92.8868,93.4833,92.8037,93.464,47099391,0.006214015339101042,-0.013526749527154824,0.006214015339101042,,93.464,93.0,30,0.0821917808219178,,0.03,call
2005-03-15,93.6811,93.7226,92.6438,92.6812,80992092,-0.00837541727296065,-0.01785909194470492,-0.00837541727296065,,92.6812,93.0,30,0.0821917808219178,,0.03,call
2005-03-16,92.3499,92.5002,91.7421,91.9098,99446724,-0.008323155073520883,-0.015145215766283138,-0.008323155073520883,,91.9098,92.0,30,0.0821917808219178,,0.03,call
2005-03-17,92.0648,92.3777,91.7987,92.101,81318454,0.002080300468502827,-0.015369056197120812,0.002080300468502827,,92.101,92.0,30,0.0821917808219178,,0.03,call
2005-03-18,91.8905,92.2321,91.1564,91.4504,80209634,-0.007063984104407117,-0.015463984118303076,-0.007063984104407117,,91.4504,91.0,30,0.0821917808219178,,0.03,call
2005-03-21,91.5871,91.6435,90.8453,91.1221,79620680,-0.003589924155607882,-0.02505670632543011,-0.003589924155607882,,91.1221,91.0,30,0.0821917808219178,,0.03,call
2005-03-22,91.3241,91.7519,90.2002,90.2002,120971319,-0.010117194401797258,-0.026769182962672167,-0.010117194401797258,,90.2002,90.0,30,0.0821917808219178,,0.03,call
2005-03-23,90.2195,90.8283,90.0836,90.274,93252232,0.0008181800040354403,-0.017797884447578016,0.0008181800040354403,,90.274,90.0,30,0.0821917808219178,,0.03,call
2005-03-24,90.6289,91.0283,90.32,90.3851,67424176,0.0012306976538094538,-0.018630633760762683,0.0012306976538094538,,90.3851,90.0,30,0.0821917808219178,,0.03,call
2005-03-28,90.5909,90.991,90.5114,90.5114,60842798,0.0013973542099305902,-0.010267861048174787,0.0013973542099305902,0.09759488096300882,90.5114,91.0,30,0.0821917808219178,0.09759488096300882,0.03,call
2005-03-29,90.3851,90.9535,89.6961,89.9035,94676790,-0.006716281043050887,-0.013373265102538334,-0.006716281043050887,0.0975130817278613,89.9035,90.0,30,0.0821917808219178,0.0975130817278613,0.03,call
2005-03-30,90.2002,91.2022,90.0931,91.1841,81522073,0.014244161795703203,0.01090795807548095,0.014244161795703203,0.11043068019341833,91.1841,91.0,30,0.0821917808219178,0.11043068019341833,0.03,call
2005-03-31,91.1938,91.3956,90.9258,91.0088,84310645,-0.0019224842927659802,0.008139663690541976,-0.0019224842927659802,0.11041690184598679,91.0088,91.0,30,0.0821917808219178,0.11041690184598679,0.03,call
2005-04-01,91.5135,91.8072,90.2002,90.6001,126236623,-0.0044907745185081005,0.0023787106503174726,-0.0044907745185081005,0.11076917484125491,90.6001,91.0,30,0.0821917808219178,0.11076917484125491,0.03,call
2005-04-04,90.5564,90.9172,90.0739,90.7544,92814412,0.0017030886279376656,0.002684744684095186,0.0017030886279376656,0.09836791995772501,90.7544,91.0,30,0.0821917808219178,0.09836791995772501,0.03,call
2005-04-05,90.854,91.3335,90.7897,91.1938,64910508,0.004841638532126158,0.014352055259250207,0.004841638532126158,0.1010961244811647,91.1938,91.0,30,0.0821917808219178,0.1010961244811647,0.03,call
2005-04-06,91.3956,91.7708,91.1841,91.497,69097710,0.0033247874307245073,0.0034315193109324404,0.0033247874307245073,0.10240247961960246,91.497,91.0,30,0.0821917808219178,0.10240247961960246,0.03,call
2005-04-07,91.3613,92.0177,91.277,92.0007,61209472,0.00550509852782044,0.010898946035987844,0.00550509852782044,0.09876357369854867,92.0007,92.0,30,0.0821917808219178,0.09876357369854867,0.03,call
2005-04-08,91.9471,91.9843,91.0378,91.0378,83334418,-0.010466224713507555,0.00483112049545209,-0.010466224713507555,0.10388808853397027,91.0378,91.0,30,0.0821917808219178,0.10388808853397027,0.03,call
2005-04-11,91.2597,91.3698,90.8979,91.1221,59436913,0.0009259889847952341,0.004051594192678198,0.0009259889847952341,0.10197085604758878,91.1221,91.0,30,0.0821917808219178,0.10197085604758878,0.03,call
2005-04-12,90.9449,91.8619,90.32,91.5777,112205091,0.004999884769995244,0.004209716011395415,0.004999884769995244,0.10092698425178749,91.5777,92.0,30,0.0821917808219178,0.10092698425178749,0.03,call
2005-04-13,91.4683,91.6617,90.3764,90.5027,85621141,-0.011738665635847911,-0.010867022962501416,-0.011738665635847911,0.10481794080174368,90.5027,91.0,30,0.0821917808219178,0.10481794080174368,0.03,call
2005-04-14,90.61,90.6635,89.3295,89.3295,129148331,-0.012963149165715615,-0.02903456169355234,-0.012963149165715615,0.1101760352995886,89.3295,89.0,30,0.0821917808219178,0.1101760352995886,0.03,call
2005-04-15,89.3036,89.6498,88.0295,88.0669,173763858,-0.014134188593913466,-0.03263369721148801,-0.014134188593913466,0.11812941985052414,88.0669,88.0,30,0.0821917808219178,0.11812941985052414,0.03,call
2005-04-18,88.0487,88.695,87.9176,88.3424,130023851,0.0031283035964704276,-0.030505223211493182,0.0031283035964704276,0.1181156319303712,88.3424,88.0,30,0.0821917808219178,0.1181156319303712,0.03,call
2005-04-19,88.8039,89.2758,88.5973,89.0537,88656624,0.00805162639910173,-0.027561294944074666,0.00805162639910173,0.12278276702262005,89.0537,89.0,30,0.0821917808219178,0.12278276702262005,0.03,call
2005-04-20,89.0451,89.2125,87.6027,87.7854,148844377,-0.014241968609951194,-0.030024518605522355,-0.014241968609951194,0.1275716637909404,87.7854,88.0,30,0.0821917808219178,0.1275716637909404,0.03,call
2005-04-21,88.5636,89.6596,88.2449,89.5083,113367309,0.019626270427656634,0.002001578425939954,0.019626270427656634,0.1476517276288668,89.5083,90.0,30,0.0821917808219178,0.1476517276288668,0.03,call
2005-04-22,89.3036,89.8757,88.1665,89.1683,116441678,-0.0037985304156151756,0.012506401383493682,-0.0037985304156151756,0.14800072776293216,89.1683,89.0,30,0.0821917808219178,0.14800072776293216,0.03,call
2005-04-25,89.3973,89.8757,89.2854,89.7505,67871463,0.006529226193613624,0.015939118701778554,0.006529226193613624,0.15004292011054768,89.7505,90.0,30,0.0821917808219178,0.15004292011054768,0.03,call
2005-04-26,89.4795,90.0931,88.8363,88.8823,97680646,-0.009673483713182662,-0.0019246814000990486,-0.009673483713182662,0.1520530742170766,88.8823,89.0,30,0.0821917808219178,0.1520530742170766,0.03,call
2005-04-27,88.6242,89.5533,88.2985,89.2315,110411018,0.0039287912216492415,0.016473126510786473,0.0039287912216492415,0.14289478811835146,89.2315,89.0,30,0.0821917808219178,0.14289478811835146,0.03,call
2005-04-28,88.9359,89.2576,88.1119,88.1119,96261281,-0.012547138622571508,-0.015600787859896825,-0.012547138622571508,0.14862385504710066,88.1119,88.0,30,0.0821917808219178,0.14862385504710066,0.03,call
2005-04-29,88.7855,89.4069,87.9261,89.312,135165377,0.013620180702039075,0.0016115592648957566,0.013620180702039075,0.15754647927659726,89.312,89.0,30,0.0821917808219178,0.15754647927659726,0.03,call
2005-05-02,89.5533,89.803,89.1415,89.803,72660708,0.005497581512002858,0.0005849549584682201,0.005497581512002858,0.1588743605303412,89.803,90.0,30,0.0821917808219178,0.1588743605303412,0.03,call
2005-05-03,89.5533,90.1571,89.2576,89.9666,112651084,0.0018217654198635636,0.012199279271575936,0.0018217654198635636,0.15789153956998342,89.9666,90.0,30,0.0821917808219178,0.15789153956998342,0.03,call
2005-05-04,89.9916,90.8453,89.713,90.6635,106913208,0.007746208037204827,0.016048144433299827,0.007746208037204827,0.16012467328845723,90.6635,91.0,30,0.0821917808219178,0.16012467328845723,0.03,call
2005-05-05,90.7897,91.0378,90.0739,90.6289,126141487,-0.00038163097608190366,0.028565948526816376,-0.00038163097608190366,0.15859704143843348,90.6289,91.0,30,0.0821917808219178,0.15859704143843348,0.03,call
2005-05-06,90.9822,91.0283,90.32,90.3381,90213901,-0.003208689501913886,0.01148893765675374,-0.003208689501913886,0.15471651754909022,90.3381,90.0,30,0.0821917808219178,0.15471651754909022,0.03,call
2005-05-09,90.4501,91.1134,90.3102,90.8904,56998543,0.006113699535412076,0.012108726879948462,0.006113699535412076,0.15636684447835336,90.8904,91.0,30,0.0821917808219178,0.15636684447835336,0.03,call
2005-05-10,90.5564,90.6635,89.7936,89.9666,97252668,-0.010163889695721462,0.0,-0.010163889695721462,0.15907239172028992,89.9666,90.0,30,0.0821917808219178,0.15907239172028992,0.03,call
2005-05-11,90.2097,90.5735,89.3905,90.4645,119295448,0.0055342760535577185,-0.0021949296023205944,0.0055342760535577185,0.1551430890061678,90.4645,90.0,30,0.0821917808219178,0.1551430890061678,0.03,call
2005-05-12,90.52,90.718,89.0537,89.471,123874723,-0.010982208490623369,-0.012776277765701671,-0.010982208490623369,0.1530894240462793,89.471,89.0,30,0.0821917808219178,0.1530894240462793,0.03,call
2005-05-13,89.7227,89.9666,88.5715,89.2854,110742945,-0.0020744151736317162,-0.011652890640825975,-0.0020744151736317162,0.14390239429650997,89.2854,89.0,30,0.0821917808219178,0.14390239429650997,0.03,call
2005-05-16,89.266,90.1478,89.2392,90.1198,63964862,0.009345312895501445,-0.008478343147351075,0.009345312895501445,0.14693886260687986,90.1198,90.0,30,0.0821917808219178,0.14693886260687986,0.03,call
2005-05-17,89.8204,90.809,89.625,90.7086,79603309,0.006533525374002203,0.008247505185257742,0.006533525374002203,0.14607394465795828,90.7086,91.0,30,0.0821917808219178,0.14607394465795828,0.03,call
2005-05-18,91.1038,91.8713,91.0463,91.6523,101166140,0.010403644196911754,0.013130012325276663,0.010403644196911754,0.1380279116404464,91.6523,92.0,30,0.0821917808219178,0.1380279116404464,0.03,call
2005-05-19,91.8265,92.1394,91.5777,92.0455,81460507,0.0042901269253472485,0.028774686770014934,0.0042901269253472485,0.12216116779650944,92.0455,92.0,30,0.0821917808219178,0.12216116779650944,0.03,call
2005-05-20,92.0926,92.1203,91.6157,91.9098,60171548,-0.0014742708769032165,0.029393383464709988,-0.0014742708769032165,0.12111672367624372,91.9098,92.0,30,0.0821917808219178,0.12111672367624372,0.03,call
2005-05-23,91.9843,92.6083,91.9651,92.4159,66482810,0.005506485706638253,0.025478307763665553,0.005506485706638253,0.12061162646030849,92.4159,92.0,30,0.0821917808219178,0.12061162646030849,0.03,call
2005-05-24,92.1567,92.463,91.9749,92.2142,66100846,-0.0021825248685560794,0.016598205682812894,-0.0021825248685560794,0.11417347291134147,92.2142,92.0,30,0.0821917808219178,0.11417347291134147,0.03,call
2005-05-25,92.101,92.4906,91.6895,92.1394,62840231,-0.0008111548980527239,0.00531465113259566,-0.0008111548980527239,0.11427750702387096,92.1394,92.0,30,0.0821917808219178,0.11427750702387096,0.03,call
2005-05-26,92.4256,92.7385,92.2973,92.616,56457030,0.00517259717341334,0.006198021630606565,0.00517259717341334,0.1017453012357602,92.616,93.0,30,0.0821917808219178,0.1017453012357602,0.03,call
2005-05-27,92.6248,92.7771,92.4351,92.7771,31938170,0.0017394402694999034,0.009436425713035934,0.0017394402694999034,0.09290265229567637,92.7771,93.0,30,0.0821917808219178,0.09290265229567637,0.03,call
2005-05-31,92.6438,92.7002,92.1298,92.195,58235805,-0.006274177571836237,-0.002390281326048904,-0.006274177571836237,0.09622994633208867,92.195,92.0,30,0.0821917808219178,0.09622994633208867,0.03,call
