date,open,high,low,close,volume,return_1d,return_5d,daily_return,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,option_price,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega
2005-02-25,92.7949,93.8716,92.7097,93.6948,79289004,,,,,93.6948,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-02-28,93.4735,93.5952,92.6083,93.0544,89985785,-0.0068349577564603,,-0.0068349577564603,,93.0544,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-01,93.1845,93.7683,93.1845,93.5386,61658442,0.0052034078990355,,0.0052034078990355,,93.5386,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-02,93.1749,94.0766,93.0735,93.4927,83253671,-0.0004907065104673,,-0.0004907065104673,,93.4927,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-03,93.8716,94.0575,93.1203,93.5301,80491538,0.000400031232385,,0.000400031232385,,93.5301,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-04,94.1512,94.7819,93.9675,94.7073,72809892,0.0125863224780045,0.0108063627864085,0.0125863224780045,,94.7073,95.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-07,94.6499,95.0882,94.4327,94.7456,56781312,0.0004044038843888,0.0181743152392579,0.0004044038843888,,94.7456,95.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-08,94.6594,94.8872,94.1991,94.3665,57895709,-0.0040012412185894,0.0088508915036145,-0.0040012412185894,,94.3665,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-09,94.1043,94.3378,93.3148,93.3232,95400795,-0.0110558301939777,-0.0018129757724399,-0.0110558301939777,,93.3232,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-10,93.3329,93.7494,92.8868,93.5386,84641541,0.0023081077374114,9.087983440614344e-05,0.0023081077374114,,93.5386,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-11,93.778,93.9102,92.6907,92.8868,75346247,-0.0069682462641091,-0.0192223830686758,-0.0069682462641091,,92.8868,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-14,92.8868,93.4833,92.8037,93.464,47099391,0.006214015339101,-0.0135267495271548,0.006214015339101,,93.464,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-15,93.6811,93.7226,92.6438,92.6812,80992092,-0.0083754172729606,-0.0178590919447049,-0.0083754172729606,,92.6812,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-16,92.3499,92.5002,91.7421,91.9098,99446724,-0.0083231550735208,-0.0151452157662831,-0.0083231550735208,,91.9098,92.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-17,92.0648,92.3777,91.7987,92.101,81318454,0.0020803004685028,-0.0153690561971208,0.0020803004685028,,92.101,92.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
2005-03-18,91.8905,92.2321,91.1564,91.4504,80209634,-0.0070639841044071,-0.015463984118303,-0.0070639841044071,,91.4504,91.0,30,0.0821917808219178,,0.03,call,,,,,,,,,
