Date,Close,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,option_price,delta,gamma,theta,vega
1999-03-10,43.2932,,,,43.2932,43.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-11,43.4977,0.004723605554683,,,43.4977,43.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-12,42.4471,-0.0241530011931665,,,42.4471,42.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-15,43.6631,0.0286474223209596,,,43.6631,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-16,44.0379,0.0085839072351712,,,44.0379,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-17,43.7139,-0.0073572990537695,0.0097174614027146,,43.7139,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-18,44.5647,0.0194629168296582,0.0245300326224144,,44.5647,45.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-19,43.4281,-0.0255044912228737,0.0231111194875504,,43.4281,43.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-22,42.8898,-0.0123952003426353,-0.0177106068968991,,42.8898,43.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-23,41.3851,-0.0350829334713614,-0.0602390213883949,,41.3851,41.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-24,42.7917,0.0339880778347763,-0.0210962645748835,,42.7917,43.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-25,44.3473,0.0363528441263141,-0.0048783005383185,,44.3473,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-26,43.8725,-0.0107064015171158,0.0102330058188131,,43.8725,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-29,45.4663,0.036327995897202,0.0600725580441037,,45.4663,45.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-30,45.1441,-0.0070865674136667,0.0908297913983535,,45.1441,45.0,30,0.0821917808219178,,0.03,call,,,,,
1999-03-31,44.4805,-0.0146995952959523,0.0394655973004109,,44.4805,44.0,30,0.0821917808219178,,0.03,call,,,,,
1999-04-01,45.4152,0.0210137026337384,0.0240803836986693,,45.4152,45.0,30,0.0821917808219178,,0.03,call,,,,,
1999-04-05,47.0561,0.0361310750585708,0.072564818508177,,47.0561,47.0,30,0.0821917808219178,,0.03,call,,,,,
1999-04-06,47.146,0.0019104855693523,0.0369438463213414,,47.146,47.0,30,0.0821917808219178,,0.03,call,,,,,
1999-04-07,46.6537,-0.0104420311373181,0.0334395856822928,,46.6537,47.0,30,0.0821917808219178,,0.03,call,,,,,
1999-04-08,47.0285,0.0080336607814599,0.0572835287373119,0.3583958633762477,47.0285,47.0,30,0.0821917808219178,0.3583958633762477,0.03,call,1.9969197369804093,0.5323872269245793,0.08228818127789016,-12.379630625386122,5.361065287780731
1999-04-09,47.3124,0.0060367649404082,0.0417745600591872,0.3584425100478169,47.3124,47.0,30,0.0821917808219178,0.3584425100478169,0.03,call,2.151617768333807,0.5556080852195642,0.08125588417666502,-12.408664750065682,5.358616516692878
1999-04-12,47.0,-0.0066029201646924,-0.0011921939982276,0.3450284921287417,47.0,47.0,30,0.0821917808219178,0.3450284921287417,0.03,call,1.910124425510535,0.5296483354417653,0.08557393837571864,-11.941174936656461,5.360688678374149
1999-04-13,46.3679,-0.0134489361702128,-0.0165040512450685,0.3396117450242623,46.3679,46.0,30,0.0821917808219178,0.3396117450242623,0.03,call,2.041845858417364,0.5619141745024502,0.08730179142664052,-11.544528430776191,5.2392497508845635
1999-04-14,44.7798,-0.0342499875991795,-0.0401661604545834,0.3638211402849619,44.7798,45.0,30,0.0821917808219178,0.3638211402849619,0.03,call,1.8106005997598942,0.5114731790382997,0.0853780325713518,-11.963480675766132,5.119490752841733
1999-04-15,45.3877,0.0135753174422394,-0.0348894819099057,0.3649652424496489,45.3877,45.0,30,0.0821917808219178,0.3649652424496489,0.03,call,2.1430539088600504,0.5627206283063922,0.08296486268704091,-12.08458107787353,5.1268480569403865
1999-04-16,44.0644,-0.029155476043069,-0.0686500790490441,0.3750067397145824,44.0644,44.0,30,0.0821917808219178,0.3750067397145824,0.03,call,1.972977835693488,0.5359733191175245,0.08386843183094266,-12.099776736788156,5.01928328763001
1999-04-19,41.9901,-0.0470742821869808,-0.1065936170212766,0.4011400344039164,41.9901,42.0,30,0.0821917808219178,0.4011400344039164,0.03,call,1.970414477621695,0.5306454631668159,0.08237000287349704,-12.294241044137797,4.788365539480744
1999-04-20,42.9446,0.0227315486269383,-0.0738290929716463,0.4076706401536784,42.9446,43.0,30,0.0821917808219178,0.4076706401536784,0.03,call,2.025394404362679,0.5273079679242024,0.07929737872308763,-12.77106668882282,4.900199716524219
1999-04-21,45.0608,0.0492774411683889,0.0062751508492668,0.4201343525638853,45.0608,45.0,30,0.0821917808219178,0.4201343525638853,0.03,call,2.2467309945442366,0.5366134438992827,0.07319385453734403,-13.774530424267024,5.132027771803961
1999-04-22,46.2895,0.0272676028832155,0.0198688190853468,0.4145385100040086,46.2895,46.0,30,0.0821917808219178,0.4145385100040086,0.03,call,2.391136108974674,0.5528873373556161,0.0718802723738694,-13.929544356341523,5.247687512345952
1999-04-23,46.8925,0.0130267123213687,0.0641810622634144,0.3985474271433032,46.8925,47.0,30,0.0821917808219178,0.3985474271433032,0.03,call,2.1402838542435987,0.5233923102147628,0.0743301535336686,-13.652897743863111,5.35402265033238
