date,open,high,low,close,volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type
2005-03-28,52.0533,52.2657,51.8032,51.9004,14792586.415972,0.0004954245518529,-0.0132628617057682,0.0956185448154784,51.9004,52,30,0.0821917808219178,0.0956185448154784,0.03,call
2005-03-29,51.8122,52.2994,50.9161,51.1523,25670185.971281,-0.0144141470971321,-0.0286953962421792,0.1045097848788126,51.1523,51,30,0.0821917808219178,0.1045097848788126,0.03,call
2005-03-30,51.2317,51.9342,51.2158,51.9094,22792733.227825,0.014800898493323,-0.0074570645169925,0.1159865662706968,51.9094,52,30,0.0821917808219178,0.1159865662706968,0.03,call
2005-03-31,51.9174,51.9948,51.6227,51.9004,24111535.627393,-0.0001733790026469,-0.0003274432078648,0.1161674492785596,51.9004,52,30,0.0821917808219178,0.1161674492785596,0.03,call
2005-04-01,52.1466,52.4452,51.3289,51.6782,28273894.623223,-0.0042812772155899,-0.0037879737135829,0.1159915540397413,51.6782,52,30,0.0821917808219178,0.1159915540397413,0.03,call
2005-04-04,51.5958,51.9948,51.1523,51.8747,35985945.347601,0.0038023770177753,-0.0004951792279057,0.1053777534141859,51.8747,52,30,0.0821917808219178,0.1053777534141859,0.03,call
2005-04-05,51.8826,52.1109,51.7328,51.97,21019417.698913,0.0018371190580379,0.0159855959556072,0.1065506215248297,51.97,52,30,0.0821917808219178,0.1065506215248297,0.03,call
2005-04-06,52.0949,52.5117,51.9788,52.1188,23206283.557657,0.0028631903020974,0.004033951461585,0.104637817727009,52.1188,52,30,0.0821917808219178,0.104637817727009,0.03,call
2005-04-07,51.9094,52.478,51.7863,52.3331,17648145.840118,0.0041117600558724,0.0083371226426001,0.0999137547733115,52.3331,52,30,0.0821917808219178,0.0999137547733115,0.03,call
2005-04-08,52.2835,52.3926,51.4649,51.5363,22957493.456173,-0.0152255455916046,-0.0027458386708515,0.1116143318696596,51.5363,52,30,0.0821917808219178,0.1116143318696596,0.03,call
2005-04-11,51.5551,51.6127,51.1523,51.2784,22548884.340877,-0.0050042397300543,-0.0114950062361806,0.112232888983334,51.2784,51,30,0.0821917808219178,0.112232888983334,0.03,call
2005-04-12,51.2069,51.8747,50.6859,51.7566,38545403.775631,0.0093255639801554,-0.00410621512411,0.1143498229222399,51.7566,52,30,0.0821917808219178,0.1143498229222399,0.03,call
2005-04-13,51.6604,51.7466,50.7535,50.8367,30541966.515999,-0.0177735786353817,-0.0245995686777131,0.1268665820333469,50.8367,51,30,0.0821917808219178,0.1268665820333469,0.03,call
2005-04-14,50.8715,51.0829,49.8068,49.8068,43875938.247322,-0.0202589861261647,-0.0482734636396467,0.1417936568610587,49.8068,50,30,0.0821917808219178,0.1417936568610587,0.03,call
2005-04-15,49.8425,50.1124,48.8562,49.1281,60762883.084823,-0.0136266533886938,-0.0467282284525663,0.1462169769022006,49.1281,49,30,0.0821917808219178,0.1462169769022006,0.03,call
2005-04-18,49.0408,49.6084,48.6994,49.4426,41597274.438419,0.0064016316527606,-0.0358006490062092,0.1502920654227125,49.4426,49,30,0.0821917808219178,0.1502920654227125,0.03,call
2005-04-19,49.7463,50.2791,49.6917,50.2652,37828457.028102,0.016637474566467,-0.0288156486322517,0.1653024721065027,50.2652,50,30,0.0821917808219178,0.1653024721065027,0.03,call
2005-04-20,50.3039,50.3863,49.3593,49.4784,37313930.767126,-0.0156529766120496,-0.026718886159015,0.1713543574513276,49.4784,49,30,0.0821917808219178,0.1713543574513276,0.03,call
2005-04-21,49.9983,50.7196,49.2998,50.6859,38155863.132747,0.0244045886689949,0.017650200374246,0.1953696756466452,50.6859,51,30,0.0821917808219178,0.1953696756466452,0.03,call
2005-04-22,50.5331,50.6065,49.3166,49.8683,35507427.570279,-0.0161307187995083,0.0150667337023004,0.2024798654093399,49.8683,50,30,0.0821917808219178,0.2024798654093399,0.03,call
2005-04-25,50.0579,50.412,49.9239,50.3288,22411187.415639,0.0092343232073281,0.0179238146861209,0.2061892741062828,50.3288,50,30,0.0821917808219178,0.2061892741062828,0.03,call
2005-04-26,50.1124,50.6065,49.2998,49.6162,36473642.113702,-0.0141588911319165,-0.0129115173121762,0.2059783944266003,49.6162,50,30,0.0821917808219178,0.2059783944266003,0.03,call
