close,return_1d,return_5d,realized_vol_20d,strike,T,option_price,delta,gamma,theta,vega,target_hedge_ratio_bucket
85.1702,0.0030467015657478,-0.011272190310792,0.0892349159665193,85.0,0.0821917808219178,1.0702407791362276,0.5743129815684939,0.179907905235191,-6.631276433462366,9.57169365144895,1.0
84.6089,-0.0065903332386209,-0.0127166456433994,0.0895878382939334,85.0,0.0821917808219178,0.7799909852181273,0.4718129159089035,0.1831238640561987,-6.434907101853861,9.65282625128701,0.0
85.6308,0.0120779256082987,0.0075705339850378,0.0996289506246859,86.0,0.0821917808219178,0.8999311421242382,0.4800547793171567,0.1629060057780817,-7.134636084318174,9.7816257978778,1.0
85.358,-0.003185769606263,0.0055426299514063,0.0998450597066169,85.0,0.0821917808219178,1.2813899431904616,0.597654864641294,0.1583605110223828,-7.243197704543782,9.468699353447573,1.0
84.5929,-0.0089634246350664,-0.0037521419360158,0.1025687079676262,85.0,0.0821917808219178,0.8977391379861501,0.4742025932321992,0.1600434126523892,-7.200776548337621,9.654925027986394,0.0
84.7307,0.0016289783185112,-0.0051602555823515,0.089962302778506,85.0,0.0821917808219178,0.8424454468702152,0.4942010278936057,0.1825360415146975,-6.533943204031408,9.68989722339355,0.0
85.0334,0.0035724949752569,0.0050172026819872,0.0924789215802579,85.0,0.0821917808219178,1.024677940494236,0.5481847316057117,0.1756630025800381,-6.799119032287551,9.654516686916804,0.0
85.383,0.0041113256673259,-0.0028938185792961,0.0951455328662294,85.0,0.0821917808219178,1.252048677340163,0.605977719709755,0.165211586324139,-6.966321586665693,9.418898443367562,0.0
85.7837,0.0046929716688333,0.0049872302537545,0.0921467967430187,86.0,0.0821917808219178,0.9018310594970202,0.50447617809675,0.1760287138593853,-6.770724461410833,9.81073843519063,1.0
84.9934,-0.0092127059103302,0.0047344398879811,0.094050921615835,85.0,0.0821917808219178,1.018092206339432,0.5406413404056095,0.1731754064111582,-6.880884528725492,9.67048079587806,1.0
84.9375,-0.0006576981271486,0.0024406738053621,0.0929256365006678,85.0,0.0821917808219178,0.9772426974713396,0.5311914441651111,0.1757643247064198,-6.799056595230377,9.684865925454773,0.0
85.358,0.0049506990434142,0.0038173235458067,0.0945831766142216,85.0,0.0821917808219178,1.231641632545326,0.6023706276247478,0.1666542324452715,-6.9368504716141635,9.439458800173323,1.0
84.5339,-0.0096546310832025,-0.0099446025555437,0.0981178542041308,85.0,0.0821917808219178,0.8271850535797611,0.4626526195607381,0.1670353047296922,-6.894089747256079,9.626014627812731,1.0
83.2482,-0.0152092829030721,-0.0295568971727728,0.103942037366011,83.0,0.0821917808219178,1.2297146351207855,0.5784170502902706,0.1576993954282165,-7.311481389090681,9.336827768086176,1.0
81.8586,-0.016692252805466,-0.0368828638458985,0.1162859101719534,82.0,0.0821917808219178,1.1188049835935416,0.5154998379967847,0.1460752074831392,-7.850417892637601,9.355362586095746,1.0
