Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,call_price,delta,gamma,theta,vega
2005-02-25,87.328,88.1403,87.2361,88.0903,6125395.4822348,,,,88.0903,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-02-28,87.8885,88.5988,87.2012,87.5548,9170607.932376,-0.0060789894006491,,,87.5548,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-01,87.6138,88.1911,87.6138,87.9864,6535595.8539027,0.0049294841630613,,,87.9864,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-02,87.6488,88.363,87.5958,87.8555,9378899.865757,-0.0014877299218969,,,87.8555,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-03,88.1403,88.345,87.4998,88.0033,10162849.520751,0.0016823078805536,,,88.0033,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-04,88.5448,89.1103,88.3261,89.0463,7518262.7001461,0.0118518282837121,0.0108525002185257,,89.0463,89.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-07,88.9234,89.2821,88.8525,88.8805,5071296.9555121,-0.0018619527144867,0.0151413743164281,,88.8805,89.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-08,88.8435,89.0263,88.5798,88.7446,9246577.2298008,-0.0015290193011964,0.0086172408463125,,88.7446,89.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-09,88.4819,88.8046,87.8016,87.8096,6212905.5221623,-0.0105358523222821,-0.0005224487937579,,87.8096,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-10,87.9664,88.402,87.5958,88.1831,6401196.1045201,0.0042535212550791,0.0020431052017366,,88.1831,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-11,88.1911,88.4629,87.5078,87.6707,4283052.9310726,-0.0058106371855831,-0.0154481432692881,,87.6707,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-14,87.7556,87.9315,87.456,87.9135,4266111.6936613,0.0027694543330896,-0.0108797767789334,,87.9135,88.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-15,88.1123,88.1831,87.401,87.446,4819307.5607323,-0.0053177270840086,-0.0146330030221557,,87.446,87.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-16,86.9495,87.0783,86.327,86.453,8020154.3660942,-0.0113555794433135,-0.0154493358357172,,86.453,86.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-17,86.6288,86.7267,86.2082,86.407,5494256.3092201,-0.0005320810151181,-0.0201410474342589,,86.407,86.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-18,86.4799,86.5298,85.7157,86.1412,13142376.136711,-0.0030761396646105,-0.0174459654137585,,86.1412,86.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-21,86.2082,86.2702,85.5459,85.6987,8988574.7167787,-0.005136914739985,-0.0251929453383155,,85.6987,86.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-22,85.7987,86.2002,84.9624,84.9874,8682458.2486532,-0.0083000092183429,-0.0281156370788829,,84.9874,85.0,30,0.0821917808219178,,0.03,call,,,,,
2005-03-23,85.0114,85.8076,84.7237,84.8875,9106284.4843983,-0.0011754683635455,-0.0181081049818976,,84.8875,85.0,30,0.0821917808219178,,0.03,call,,,,,
